DATASET_BINARY
#Binary datasets are visualized as filled or empty symbols, depending on the value associated with a node (0 or 1).
#Each node can have multiple associated values, and each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS).
#Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely omitted).

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label1

#dataset color (can be changed later)
COLOR,#000000

#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: check mark
FIELD_SHAPES,3

#field labels
FIELD_LABELS,f1

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR above)
FIELD_COLORS,#000000


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_HORIZONTAL,0
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#show dashed lines between leaf labels and the dataset
#DASHED_LINES,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0
#align symbols to the end of each leaf label (individual dataset field will not be aligned to each other)
#ALIGN_TO_LABELS,1

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
#SYMBOL_SPACING,10

#display or hide the text labels above each field column
#SHOW_LABELS,1

#text label size factor
#SIZE_FACTOR,1

#text label rotation
#LABEL_ROTATION,0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT,0

#An example dataset with 4 columns (circle, left triangle, right triangle and rectangle):
#FIELD_SHAPES,2,4,5,1
#FIELD_LABELS,f1,f2,f3,f4
#FIELD_COLORS,#ff0000,#00ff00,#ffff00,#0000ff

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
0977.bin.100.fa.metabat2,1
0977.bin.101.fa.metabat2,1
0977.bin.103.fa.metabat2,1
0977.bin.107.fa.metabat2,1
0977.bin.108.fa.metabat2,1
0977.bin.109.fa.metabat2,1
0977.bin.10.fa.metabat2,1
0977.bin.113.fa.metabat2,1
0977.bin.114.fa.metabat2,1
0977.bin.11.fa.metabat2,1
0977.bin.123.fa.metabat2,1
0977.bin.125.fa.metabat2,1
0977.bin.128.fa.metabat2,1
0977.bin.12.fa.maxbin2,1
0977.bin.12.fa.metabat2,1
0977.bin.130.fa.metabat2,1
0977.bin.15.fa.maxbin2,1
0977.bin.15.fa.metabat2,1
0977.bin.18.fa.metabat2,1
0977.bin.1.fa.maxbin2,1
0977.bin.22.fa.metabat2,1
0977.bin.25.fa.metabat2,1
0977.bin.26.fa.maxbin2,1
0977.bin.26.fa.metabat2,1
0977.bin.29.fa.maxbin2,1
0977.bin.29.fa.metabat2,1
0977.bin.33.fa.metabat2,1
0977.bin.34.fa.metabat2,1
0977.bin.35.fa.metabat2,1
0977.bin.36.fa.metabat2,1
0977.bin.39.fa.metabat2,1
0977.bin.46.fa.metabat2,1
0977.bin.47.fa.maxbin2,1
0977.bin.48.fa.maxbin2,1
0977.bin.50.fa.maxbin2,1
0977.bin.54.fa.metabat2,1
0977.bin.56.fa.metabat2,1
0977.bin.57.fa.maxbin2,1
0977.bin.57.fa.metabat2,1
0977.bin.58.fa.metabat2,1
0977.bin.67.fa.maxbin2,1
0977.bin.6.fa.metabat2,1
0977.bin.70.fa.metabat2,1
0977.bin.74.fa.metabat2,1
0977.bin.76.fa.metabat2,1
0977.bin.83.fa.metabat2,1
0977.bin.88.fa.metabat2,1
0977.bin.89.fa.metabat2,1
0977.bin.99.fa.metabat2,1
0977.bin.9.fa.metabat2,1
0977.cluster.DBSCAN.round101.0,1
0977.cluster.DBSCAN.round101.11,1
0977.cluster.DBSCAN.round1.2,1
0977.cluster.DBSCAN.round2.4,1
0977.cluster.DBSCAN.round2.5,1
0977.cluster.DBSCAN.round2.7,1
0977.cluster.DBSCAN.round4019.143,1
0977.cluster.DBSCAN.round4019.34,1
0977.cluster.DBSCAN.round4019.9,1
0977.cluster.DBSCAN.round42.3,1
0977.cluster.DBSCAN.round43.9,1
0977.cluster.DBSCAN.round5.13,1
0977.cluster.DBSCAN.round5.3,1
0977.cluster.DBSCAN.round6.32,1
0977.cluster.DBSCAN.round6.4,1
0977.cluster.DBSCAN.round95.0,1
7375.bin.0.fa.maxbin2,1
7375.bin.16.fa.metabat2,1
7375.bin.26.fa.metabat2,1
7375.bin.30.fa.metabat2,1
7375.bin.41.fa.metabat2,1
7375.bin.4.fa.maxbin2,1
7375.bin.4.fa.metabat2,1
7375.bin.66.fa.metabat2,1
7375.bin.75.fa.metabat2,1
7375.bin.80.fa.metabat2,1
7375.bin.90.fa.metabat2,1
7375.cluster.DBSCAN.round253.7,1
7375.cluster.DBSCAN.round2609.0,1
Aplysina.bin.100.fa.metabat2,1
Aplysina.bin.102.fa.metabat2,1
Aplysina.bin.107.fa.metabat2,1
Aplysina.bin.109.fa.metabat2,1
Aplysina.bin.117.fa.maxbin2,1
Aplysina.bin.119.fa.metabat2,1
Aplysina.bin.120.fa.metabat2,1
Aplysina.bin.121.fa.metabat2,1
Aplysina.bin.122.fa.maxbin2,1
Aplysina.bin.124.fa.metabat2,1
Aplysina.bin.126.fa.metabat2,1
Aplysina.bin.128.fa.metabat2,1
Aplysina.bin.129.fa.metabat2,1
Aplysina.bin.131.fa.metabat2,1
Aplysina.bin.134.fa.metabat2,1
Aplysina.bin.139.fa.metabat2,1
Aplysina.bin.13.fa.metabat2,1
Aplysina.bin.141.fa.metabat2,1
Aplysina.bin.144.fa.metabat2,1
Aplysina.bin.147.fa.metabat2,1
Aplysina.bin.148.fa.metabat2,1
Aplysina.bin.15.fa.maxbin2,1
Aplysina.bin.15.fa.metabat2,1
Aplysina.bin.18.fa.metabat2,1
Aplysina.bin.20.fa.maxbin2,1
Aplysina.bin.21.fa.maxbin2,1
Aplysina.bin.24.fa.maxbin2,1
Aplysina.bin.25.fa.metabat2,1
Aplysina.bin.28.fa.metabat2,1
Aplysina.bin.30.fa.metabat2,1
Aplysina.bin.31.fa.metabat2,1
Aplysina.bin.38.fa.metabat2,1
Aplysina.bin.41.fa.maxbin2,1
Aplysina.bin.43.fa.maxbin2,1
Aplysina.bin.48.fa.metabat2,1
